V51	postgres	Element													
n	n	n	s	s	n	s	s	s	n	s	s	s	s	n	s
93	1	1	1.7.1.3	Planning Pack 	90	PP	LOE	Planning Pack 	0				L	1	
94	1	1	1.8	Clinical Requirements and Commercialisation	2			Clinical Requirements and Commercialisation	0				L	1	
95	1	1	1.8.1	Clinical Requirements and Commercialisation	94			Clinical Requirements and Commercialisation	0				L	1	
96	1	1	1.8.1.1	Clinical Requirements 	95	CA		Clinical Requirements 	0				L	1	
97	1	1	1.8.1.1.1	Contextual Inquiary	96	WP	PCT	Contextual Inquiary	0				L	1	
98	1	1	1.8.1.1.2	User Research	96	WP	PCT	User Research	0				L	1	
99	1	1	1.8.1.1.3	Planning Pack 	96	PP		Planning Pack 	0				L	1	
100	1	1	1.8.2.1	Commercialisation Plans	95	CA		Commercialisation Plans	0				L	1	
101	1	1	1.8.2.1.1	Commercialisation Plans	100	WP	LOE	Commercialisation Plans	0				L	1	
102	1	1	1.8.2.1.2	Planning Pack 	100	PP	LOE	Planning Pack 	0				L	1	
103	1	1	2	2.0 BASE PERIOD: INFLUENZA/CBRN - MODULE DEVELOPMENT 	1			2.0 BASE PERIOD: INFLUENZA/CBRN - MODULE DEVELOPMENT 	0				L	1	
104	1	1	2.1	Project Management	103			Project Management	0				L	1	
105	1	1	2.1.1		104				0				L	1	
106	1	1	2.1.1.1	Ongoing Project Management 	105	WP	LOE	Ongoing Project Management 	0				L	1	
107	1	1	2.1.1.2	Project Management Administration	105	WP	LOE	Project Management Administration	0				L	1	
108	1	1	2.1.1.3	Planning Pack 	105	PP		Planning Pack 	0				L	1	
109	1	1	2.1.1.4	Travel	105	WP	PCT	Travel	0				L	1	
110	1	3	[OH]	OVERHEAD	1			OVERHEAD	0				L	1	
111	1	3	[COM]	COST OF MONEY	1			COST OF MONEY	0				L	1	
112	1	3	[G&A]	GEN & ADMIN	1			GEN & ADMIN	0				L	1	
113	1	3	[UB]	UNDIST BUDGET	1			UNDIST BUDGET	0				L	1	
114	1	3	[MR]	MGT RESERVE	1			MGT RESERVE	0				L	1	
