"Buyer","Project","SWBS","Cont Supp","Item","LinkedSPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount","Compare To Project","Most Recent Order Date"
"8019","471","161","      ","161-02-SEGAB-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","10/28/2013","123","06/27/2013"," LO   ","0","1","1"," No     ","06/12/2015","08/25/2017","0","0","485","08/22/2017"
"8019","471","259","      ","259-05-22009-S00","-S00","PIPE SADDLE ASSY,321 CRES, 7","2","0","06/07/2013","123","02/04/2013"," EA   ","0","2","2"," No     ","06/21/2017","08/25/2017","225.14","450.28","            ",""
"8019","471","259","      ","259-05-22009-S01","-S00","PIPE SADDLE ASSY,321 CRES, 7","2","0","06/07/2013","123","02/04/2013"," EA   ","0","2","2"," No     ","06/21/2017","08/25/2017","225.14","450.28","            ",""
"8019","471","259","      ","259-05-22009-S01","-S00","PIPE SADDLE ASSY,321 CRES, 7","2","0","06/07/2013","123","02/04/2013"," EA   ","0","2","2"," No     ","06/21/2017","08/25/2017","225.14","450.28","            ",""
"8019","471","259","      ","259-05-22015-S00","80A202-000000004","ANCHOR FDN ASSY, W/3"" IPS,  ","1","0","07/22/2013","30","06/22/2013"," EA   ","0","1","1"," No     ","06/21/2017","08/25/2017","92.61","92.61","            ",""
"8019","471","259","      ","259-05-22015-S01","80A202-000000004","ANCHOR FDN ASSY, W/3"" IPS,  ","1","0","07/22/2013","30","06/22/2013"," EA   ","0","1","1"," No     ","06/21/2017","08/25/2017","92.61","92.61","            ",""
"8019","471","259","      ","259-05-22024-S00","-S00","CLAMP, PIPE, 13-1/4"" DIA, SS","1","0","02/17/2014","56","12/23/2013"," EA   ","0","1","1"," No     ","06/21/2017","08/25/2017","396.77","396.77","            ",""
"8019","471","259","      ","259-05-22031-S01","-S00","ANCHOR FDN ASSY, W/3"" IPS   ","2","0","07/22/2013","30","06/22/2013"," EA   ","0","2","2"," No     ","06/21/2017","08/25/2017","107.46","214.92","            ",""
"8019","471","259","      ","259-05-22032-S00","-S00","HOT HANGER ASSEMBLY, 3X3X1/4","1","0","07/22/2013","30","06/22/2013"," EA   ","0","1","1"," No     ","06/21/2017","08/25/2017","92.06","92.06","            ",""
"8019","471","259","      ","259-05-22033-S00","-S00","ANCHOR FDN ASSY, W/4"" IPS,  ","1","0","07/22/2013","30","06/22/2013"," EA   ","0","1","1"," No     ","06/21/2017","08/25/2017","89.26","89.26","            ",""
"8019","471","259","      ","259-05-SP001-L06","-L06","REPORT, IN-PLANT TEST       ","1","0","08/08/2013","60","06/09/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP001-L50","-L50","CERTIFICATES, CONSTRUCTION  ","1","0","08/08/2013","60","06/09/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP001-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","08/08/2013","60","06/09/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0","0","            ",""
"8019","471","259","      ","259-05-SP002-L06","-L06","REPORT, IN-PLANT TEST       ","1","0","08/08/2013","60","06/09/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP002-L50","-L50","CERTIFICATES, CONSTRUCTION  ","1","0","08/08/2013","60","06/09/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP002-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","08/08/2013","60","06/09/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0","0","            ",""
"8019","471","259","      ","259-05-SP003-L06","-L06","REPORT, IN-PLANT TEST       ","1","0","07/29/2013","60","05/30/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP003-L50","-L50","CERTIFICATES, CONSTRUCTION  ","1","0","07/29/2013","60","05/30/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP003-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","07/29/2013","60","05/30/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0","0","            ",""
"8019","471","259","      ","259-05-SP004-L06","-L06","REPORT, IN-PLANT TEST       ","1","0","07/29/2013","60","05/30/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP004-L50","-L50","CERTIFICATES, CONSTRUCTION  ","1","0","07/29/2013","60","05/30/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0.01","0.01","450","07/16/2009"
"8019","471","259","      ","259-05-SP004-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","07/29/2013","60","05/30/2013"," LO   ","0","1","1"," No     ","08/16/2011","08/25/2017","0","0","            ",""
"8019","471","512","      ","512-01-00015-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","06/11/2013","123","02/08/2013"," LO   ","0","1","1"," No     ","04/16/2012","08/25/2017","0","0","465","11/07/2011"
"8019","471","551","      ","551-01-E0003-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","0","06/18/2014","60","04/19/2014"," EA   ","0","1","1"," No     ","03/19/2013","08/25/2017","0","0","483","01/07/2016"
"8019","471","551","      ","551-01-E0004-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","0","10/03/2014","60","08/04/2014"," EA   ","0","1","1"," No     ","03/19/2013","08/25/2017","0","0","483","02/04/2016"
"8019","471","551","      ","551-01-E0005-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","0","10/03/2014","60","08/04/2014"," EA   ","0","1","1"," No     ","03/19/2013","08/25/2017","0","0","483","02/04/2016"
"8019","471","551","      ","551-01-E0006-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","0","07/08/2014","60","05/09/2014"," EA   ","0","1","1"," No     ","03/19/2013","08/25/2017","0","0","483","02/04/2016"
"8019","471","551","      ","551-01-E0013-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","0","07/08/2014","60","05/09/2014"," EA   ","0","1","1"," No     ","05/01/2014","08/25/2017","0","0","481","02/04/2016"
"8019","471","581","      ","581-01-00009-L11","-L11","CERTIFICATES, REGULATORY BOD","1","0","07/22/2014","60","05/23/2014"," LO   ","0","1","1"," No     ","06/07/2012","08/25/2017","0","0","479","08/19/2015"
"8019","471","582","      ","582-01-00100-L11","-L11","CERTIFICATES, REGULATORY BOD","1","0","07/22/2014","60","05/23/2014"," LO   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","479","08/19/2015"
"8019","471","582","      ","582-01-00100-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","07/22/2014","123","03/21/2014"," LO   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","479","08/19/2015"
"8019","471","582","      ","582-01-00102-L11","-L11","CERTIFICATES, REGULATORY BOD","1","0","07/22/2014","60","05/23/2014"," LO   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","479","08/19/2015"
"8019","471","582","      ","582-01-00102-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","07/22/2014","123","03/21/2014"," LO   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","479","08/19/2015"
"8019","471","582","      ","582-01-S0001-800","700022-000000004","INSERT PLATE, 70MM, EH-36, L","1","0","07/22/2014","123","03/21/2014"," EA   ","0","1","1"," No     ","03/27/2015","08/25/2017","0","0","467","03/20/2013"
"8019","471","612","      ","612-01-90001-L06","-L06","REPORT, IN-PLANT TEST       ","1","0","05/07/2014","60","03/08/2014"," LO   ","0","1","1"," No     ","02/11/2015","08/25/2017","0","0","            ",""
"8019","471","612","      ","612-01-90002-L06","-L06","REPORT, IN-PLANT TEST       ","1","0","05/07/2014","60","03/08/2014"," LO   ","0","1","1"," No     ","02/11/2015","08/25/2017","0","0","            ",""
"8019","471","623","      ","623-07-000S4-800","691600-000000001","#S4 LADDER PAD, QTY 18      ","1","0","02/17/2014","123","10/17/2013"," EA   ","0","1","1"," No     ","06/12/2015","08/25/2017","0","0","481","07/06/2016"
"8019","471","637","      ","637-97-00S78-S00","-S00","SHELF, PRINTER, FABRICATE   ","1","0","12/02/2013","123","08/01/2013"," EA   ","0","1","1"," No     ","05/10/2017","08/25/2017","460","460","            ",""
"8021","471","42","      ","042-01-00061","SRV520-012000101","CLEANING SERVICES FOR LCS   ","5","0","06/07/2013","123","02/04/2013"," EA   ","0","5","5"," No     ","02/27/2013","08/25/2017","995","4975","467","06/02/2016"
"8021","471","243","      ","243-00-00002","SRV524-030900008","SERVICE, IN-PLACE MACHINING ","1","0","06/07/2013","123","02/04/2013"," EA   ","0","1","1"," No     ","05/24/2016","08/25/2017","22796.74","22796.74","465","01/29/2015"
"8021","471","243","      ","243-99-00002","SRV524-030800004","P.O. AMMENDMENT TO COVER    ","1","0","09/06/2013","60","07/08/2013"," LT   ","0","1","1"," No     ","05/25/2012","08/25/2017","0","0","473","02/28/2017"
"8021","471","243","      ","243-99-000A1","SRV524-030900009","SERVICES, MACHINING, SHAFTIN","1","0","09/06/2013","60","07/08/2013"," EA   ","0","1","1"," No     ","05/25/2012","08/25/2017","400","400","450","11/03/2009"
"8021","471","244","      ","244-01-MS005","SRV524-030900010","SERVICES, MACHINING, IAW PTS","1","0","09/06/2013","60","07/08/2013"," EA   ","0","1","1"," No     ","05/25/2012","08/25/2017","210300","210300","467","07/26/2016"
"8021","471","244","      ","244-01-MS006","SRV524-030800012","VENDOR SERVICE, BULKHEAD SHA","1","0","11/15/2013","123","07/15/2013"," LO   ","0","1","1"," No     ","10/03/2016","08/25/2017","0","0","            ",""
"8021","471","247","      ","247-01-MS005","SRV524-030800011","VENDOR SERVICE, THRUST BEARI","1","0","07/15/2013","123","03/14/2013"," LO   ","0","1","1"," No     ","10/03/2016","08/25/2017","1","1","477","04/06/2017"
"8021","471","512","      ","512-01-00066","SRV527-031500014","IMECO COST REDUCTION OF REMO","1","0","06/11/2013","123","02/08/2013"," LO   ","0","1","1"," No     ","06/14/2013","08/25/2017","0","0","            ",""
"8021","471","512","      ","512-01-00068","SRV527-031500029","IMECO COST INCREASE TO TAKE ","1","0","06/11/2013","123","02/08/2013"," LO   ","0","1","1"," No     ","12/05/2013","08/25/2017","1400","1400","465","12/06/2013"
"8021","471","549","      ","549-01-00900","240206000001-001","OIL, ENGINE, MIL SYM 2190 TE","2","0","12/16/2014","15","12/01/2014"," EA   ","0","2","2"," No     ","05/29/2012","08/25/2017","888.02","1776.04","473","08/24/2016"
"8021","471","549","      ","549-01-10002","240900000300-001","GREASE, NLGI GRADE 2, SHELL ","4","0","12/16/2014","45","11/01/2014"," EA   ","0","4","4"," No     ","05/29/2012","08/25/2017","3.9","15.6","466","02/26/2016"
"8021","471","549","      ","549-01-10003","240911000301-001","GREASE, MIL-G-24139, MINERAL","2","0","12/16/2014","10","12/06/2014"," EA   ","0","2","2"," No     ","05/29/2012","08/25/2017","6.41","12.82","469","10/01/2015"
"8021","471","549","      ","549-01-10004","240800000001-001","LUBRICANT, WIRE ROPE, MIL-PR","3","0","12/16/2014","45","11/01/2014"," EA   ","0","3","3"," No     ","05/29/2012","08/25/2017","418.62","1255.86","467","03/28/2014"
"8021","471","549","      ","549-01-20004","240206000000-007","OIL, ENGINE LUBRICATING, MOB","2860","0","06/07/2013","15","05/23/2013"," GL   ","0","715","715"," No     ","02/10/2015","08/25/2017","11.24","8036.6","            ",""
"8021","471","549","      ","549-01-20005","240223000000-001","GOVERNOR OIL, 312-30W, MPDE ","2","0","06/07/2013","60","04/08/2013"," EA   ","0","2","2"," No     ","12/09/2015","08/25/2017","704.24","1408.48","467","12/11/2015"
"8021","471","549","      ","549-01-20022","240206000000-002","OIL, LUBRICATING, SAE 20/30,","1","0","05/01/2014","45","03/17/2014"," EA   ","0","1","1"," No     ","05/29/2012","08/25/2017","72.89","72.89","465","03/26/2014"
"8021","471","549","      ","549-01-20022","240206000000-002","OIL, LUBRICATING, SAE 20/30,","1","0","05/01/2014","45","03/17/2014"," EA   ","0","1","1"," No     ","05/29/2012","08/25/2017","72.89","72.89","465","03/26/2014"
"8021","471","549","      ","549-01-20024","241321000000-001","DETERGENT, GT WATER WASH,   ","2","0","05/01/2014","45","03/17/2014"," EA   ","0","2","2"," No     ","05/29/2012","08/25/2017","208","416","465","04/09/2015"
"8021","471","549","      ","549-01-20041","240202000000-008","OIL, HYDRAULIC, ISO VG 32, S","4300","0","05/01/2014","10","04/21/2014"," EA   ","0","4300","4300"," Yes    ","05/29/2012","08/25/2017","5.95","25585","450","03/02/2011"
"8021","471","549","      ","549-01-20081","240900000300-002","GREASE, DOD-G-24508,        ","1","0","10/03/2014","45","08/19/2014"," EA   ","0","1","1"," No     ","05/29/2012","08/25/2017","0","0","467","01/25/2017"
"8021","471","549","      ","549-01-30003","240307000000-002","ANTIFREEZE, ETHYLENE GLYCOL ","25","0","06/04/2014","45","04/20/2014"," EA   ","0","22","22"," No     ","05/29/2012","08/25/2017","211.76","4658.72","            ",""
"8021","471","549","      ","549-01-40001","240906010000-001","LUBRICANT, ISOFLEX TOPAS NCA","2","0","04/11/2014","45","02/25/2014"," EA   ","0","2","2"," No     ","05/29/2012","08/25/2017","127.6","255.2","450","02/23/2011"
"8021","471","549","      ","549-01-40002","240922010301-001","GREASE, MIL-G-21164,        ","1","0","04/11/2014","45","02/25/2014"," EA   ","0","1","1"," No     ","05/29/2012","08/25/2017","52.74","52.74","465","03/26/2014"
"8021","471","549","      ","549-01-50001","240905000300-002","GREASE, NLGI GRADE 2, LITHIU","10","0","10/03/2014","30","09/03/2014"," EA   ","0","10","10"," No     ","05/29/2012","08/25/2017","3.52","35.2","450","02/23/2011"
"8021","471","549","      ","549-01-50002","240900000100-001","GREASE, CHEVRON SRI NO. 2   ","10","0","07/15/2014","30","06/15/2014"," EA   ","0","10","10"," No     ","05/29/2012","08/25/2017","42.41","424.1","465","03/26/2014"
"8021","471","549","      ","549-01-50029","240922000000-001","GREASE, MOLYKOTE LONGTERM   ","2","0","10/03/2014","60","08/04/2014"," GL   ","0","2","2"," No     ","05/29/2012","08/25/2017","20.97","41.94","467","10/02/2014"
"8021","471","549","      ","549-01-50030","241115000000-001","FLUID, TRANSMISSION         ","1","0","06/04/2014","60","04/05/2014"," GL   ","0","1","1"," No     ","05/29/2012","08/25/2017","12.813","12.813","467","03/28/2014"
"8021","471","549","      ","549-01-50031","240203000000-001","OIL, GEAR, SAE 50           ","1","0","06/04/2014","60","04/05/2014"," GL   ","0","1","1"," No     ","05/29/2012","08/25/2017","17.278","17.278","465","03/28/2014"
"8021","471","549","      ","549-01-50032","240905000000-001","GREASE, MOBILUX EP 111      ","5","0","10/03/2014","60","08/04/2014"," GL   ","0","5","5"," No     ","05/29/2012","08/25/2017","19.07","95.35","467","03/28/2014"
"8021","471","549","      ","549-01-50033","240905000000-002","GREASE, MOBILGREASE XHP 461 ","1","0","10/03/2014","60","08/04/2014"," GL   ","0","1","1"," No     ","05/29/2012","08/25/2017","28.3","28.3","467","03/26/2014"
"8021","471","549","      ","549-01-50034","240203010000-001","OIL, GEAR LUBRICANT, SYNTHET","4","0","06/04/2014","60","04/05/2014"," EA   ","0","4","4"," No     ","05/29/2012","08/25/2017","38.1","152.4","467","03/26/2014"
"8021","471","549","      ","549-01-50035","240206000001-003","OIL, ENG, MIL SYM 2190, 1 GA","5","0","06/04/2014","15","05/20/2014"," EA   ","0","5","5"," No     ","05/29/2012","08/25/2017","54.73","273.65","465","03/28/2014"
"8021","471","549","      ","549-01-50037","240914000300-001","GREASE, NLGI GRADE 2, LITHIU","4","0","10/03/2014","30","09/03/2014"," EA   ","0","4","4"," No     ","05/29/2012","08/25/2017","28.39","113.56","465","03/28/2014"
"8021","471","549","      ","549-01-50045","240913000300-002","GREASE, MULTIPURPOSE, NLGI G","1","0","10/03/2014","123","06/02/2014"," EA   ","0","1","1"," No     ","05/29/2012","08/25/2017","0","0","467","09/08/2016"
"8021","471","549","      ","549-01-50046","240202000000-003","OIL, HYDRAULIC, ISO VG 46   ","2","0","06/04/2014","123","02/01/2014"," GL   ","0","2","2"," No     ","05/29/2012","08/25/2017","10.62","21.24","467","03/26/2014"
"8021","471","549","      ","549-01-50066","240905000100-001","GREASE, CITGO PREMIUM       ","2","0","03/03/2014","123","10/31/2013"," EA   ","0","2","2"," No     ","05/29/2012","08/25/2017","2.876","5.752","467","03/26/2014"
"8021","471","549","      ","549-01-50071","240203000000-004","OIL, GEAR LUBRICANT, 80W-90,","16","0","07/15/2014","123","03/14/2014"," EA   ","0","16","16"," No     ","05/29/2012","08/25/2017","4.43","70.88","467","03/28/2014"
"8021","471","549","      ","549-01-60041","240206000001-004","OIL, ENGINE, MIL SYM 2190-TE","3","0","06/04/2014","15","05/20/2014"," GL   ","0","3","3"," No     ","05/29/2012","08/25/2017","54.73","164.19","467","03/26/2014"
"8021","471","635","      ","635-00-00AWR","SRV525-030600093","REMOVE/RE-INSTALL INSULATION","1","1","08/25/2015","123","04/24/2015"," LO   ","0","0","1"," No     ","08/25/2015","08/25/2015","10718.47","10718.47","470","08/25/2015"
"8021","471","635","      ","635-00-V001B","SRV525-011100002","MOD TO CONTRACT, EXERCISE OP","1","0","06/07/2013","123","02/04/2013"," EA   ","0","1","1"," No     ","05/07/2014","08/25/2017","1","1","475","10/09/2015"
"8021","471","637","      ","637-94-S1S12","090300-000000025","CURTAIN PLATE ASSEMBLIES    ","313","0","06/07/2013","123","02/04/2013"," EA   ","0","313","313"," No     ","09/08/2014","08/25/2017","0","0","            ",""
"8021","471","651","      ","651-01-0017B","731201-000000016","SUB-BASE EXTENSION/SUB-BASE ","1","0","06/04/2014","45","04/20/2014"," EA   ","0","1","1"," No     ","02/21/2014","08/25/2017","0","0","481","12/16/2016"
"8021","471","664","      ","664-02-00145","780800-000000006","PORTABLE SUB-PUMP STOWAGE   ","2","0","06/07/2013","123","02/04/2013"," EA   ","0","2","2"," No     ","05/05/2014","08/25/2017","325","650","467","11/30/2012"
"8021","471","664","      ","664-02-00162","704100-000000007","STRAP, 24-1/4"" OVERALL LG, P","2","0","05/01/2014","30","04/01/2014"," EA   ","0","2","2"," No     ","02/17/2016","08/25/2017","7.16","14.32","467","01/26/2016"
