"Buyer","Project","SWBS","Cont Supp","Item","LinkedSPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount"
"8045","475","110","      ","11-14M140T40","11-14M140T40","PLATE, 14MM(22.51#) X 96"" X ","2","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/20/2013","05/29/2017","10100.87","10100.87"
"8045","475","110","      ","11-14M165T40","11-14M165T40","PLATE, 16.5MM(26.53#) X 96"" ","1","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/20/2013","05/29/2017","12344.7","12344.7"
"8045","475","110","      ","11-14M250T40","11-14M250T40","PLATE, 25MM(40.2#) X 96"" X 4","3","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","01/02/2014","05/29/2017","21305.9","21305.9"
"8045","475","110","      ","11-15M065T40","11-15M065T40","PLATE, 6.5MM X 96"" X 40', ST","21","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","01/02/2014","05/29/2017","1847.56","1847.56"
"8045","475","110","      ","11-15M120T40","11-15M120T40","PLATE, 12MM X 96"" X 40', STE","19","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","01/02/2014","05/29/2017","2941.91","2941.91"
"8045","475","110","      ","11-15M120T40","11-15M120T40","PLATE, 12MM X 96"" X 40', STE","19","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","01/02/2014","05/29/2017","2941.91","2941.91"
"8045","475","110","      ","110-00-00001","SRV521-012100001","SERVICES FOR ABS TO CERTIFY ","1","1","10/15/2014","21","09/24/2014"," EA   ","0","0","1"," No     ","06/12/2015","05/29/2017","0","0"
"8045","475","110","      ","110-00-WS605","16-16W0500440","TEE, WT 5 X 4.5LB X 40' LONG","13","6","10/15/2014","123","06/14/2014"," EA   ","0","0","6"," No     ","11/19/2013","05/29/2017","0","0"
"8045","475","110","      ","15-16M0800640","15-16M0800640","BEAM, 8"" X 6.5# X 40', M SHA","251","61","10/15/2014","145","05/23/2014"," EA   ","0","1","60"," No     ","12/03/2013","05/29/2017","111.85","6711"
"8045","475","110","      ","18-120005HR20","18-120005HR20","ROUND BAR, 5/16"" DIA, STEEL,","12","6","10/15/2014","240","02/17/2014"," EA   ","4","0","2"," No     ","11/19/2013","05/29/2017","2.76","5.52"
"8045","475","110","      ","18-420010CR12","18-420010CR12","BAR, ROUND, 0.625"" DIA X 12'","6","2.09","10/15/2014","123","06/14/2014"," EA   ","4","0","1"," No     ","11/19/2013","05/29/2017","30.836","30.836"
"8019","475","127","      ","127-01-53301-L11","-L11","CERTIFICATES, REGULATORY BOD","1","1","01/20/2016","60","11/21/2015"," LO   ","0","0","1"," No     ","09/18/2013","05/29/2017","0","0"
"8019","475","127","      ","127-01-53301-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","01/20/2016","60","11/21/2015"," EA   ","0","0","1"," No     ","09/18/2013","05/29/2017","0","0"
"8019","475","127","      ","127-01-53301-L68","-L68","CERTIFICATES, VENDOR WELDING","1","1","01/20/2016","123","09/19/2015"," LO   ","0","0","1"," No     ","09/18/2013","05/29/2017","0","0"
"8019","475","150","      ","150-03-D3SD1","SRV521-030300323","SERVICES, ALUMINUM FLAT PLAT","1","0","09/09/2015","123","05/09/2015"," LO   ","0","1","1"," No     ","06/12/2015","05/29/2017","0","0"
"8020","475","150","      ","150-00-00010","100402-000000004","PLATE, CRES 2205, 5' X 8'   ","1","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/03/2013","05/29/2017","1095","1095"
"8020","475","150","      ","150-00-00012","100402-000000006","PLATE, CRES 2205, 2' X 3'   ","1","1","10/15/2014","14","10/01/2014"," EA   ","0","0","1"," No     ","12/03/2013","05/29/2017","0","0"
"8020","475","150","      ","150-00-00013","100402-000000007","PLATE, CRES 2205, 1/2, 2 X 3","1","1","10/15/2014","14","10/01/2014"," EA   ","0","0","1"," No     ","12/03/2013","05/29/2017","0","0"
"8020","475","150","      ","150-00-00014","100402-000000010","PLATE, CRES 2205, 3' X 4'   ","1","1","10/15/2014","14","10/01/2014"," EA   ","0","0","1"," No     ","12/03/2013","05/29/2017","0","0"
"8020","475","150","      ","150-00-00015","100402-000000011","PLATE, CRES 2205, 3' X 4'   ","1","1","10/15/2014","14","10/01/2014"," EA   ","0","0","1"," No     ","12/03/2013","05/29/2017","0","0"
"8020","475","150","      ","150-00-00016","500800300700-00C","PIPE, CRES 2205, 6"" NPS SCH ","2","2","10/15/2014","123","06/14/2014"," LF   ","0","0","2"," No     ","12/03/2013","05/29/2017","0","0"
"8020","475","150","      ","150-06-D2MM1","SRV521-030400018","VENDOR SERVICES TO ASSEMBLE ","1","0","08/18/2016","123","04/17/2016"," LO   ","0","1","1"," No     ","04/16/2014","05/29/2017","0","0"
"8045","475","150","      ","11-33E040N12","11-33E040N12","PLATE, 1/4"" X 6' X 12', AL  ","13","7","10/15/2014","180","04/18/2014"," EA   ","0","0","7","        ","12/18/2013","05/29/2017","846.72","5927.04"
"8045","475","150","      ","11-33M050T20","11-33M050T20","PLATE, .194(5MM) X 96"" X 20'","38","1","10/15/2014","120","06/17/2014"," EA   ","0","0","1"," No     ","01/02/2014","05/29/2017","1024.99","1024.99"
"8045","475","150","      ","11-33M060T20","11-33M060T20","PLATE, .236(6MM) X 96"" X 20'","25","4","10/15/2014","90","07/17/2014"," EA   ","0","0","4"," No     ","01/02/2014","05/29/2017","1296","5184"
"8045","475","150","      ","11-33M080T20","11-33M080T20","PLATE, .315(8MM) X 96"" X 20'","33","3","10/15/2014","90","07/17/2014"," EA   ","0","0","3"," No     ","01/02/2014","05/29/2017","1699.2","5097.6"
"8045","475","150","      ","11-33M250T20","11-33M250T20","PLATE, 1"" X 8' X 20', ALUMIN","4","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","01/02/2014","05/29/2017","5283.53","5283.53"
"8045","475","150","      ","150-00-00011","100402-000000005","PLATE, CRES 2205, 2' X 3'   ","1","1","10/15/2014","180","04/18/2014"," EA   ","0","0","1"," No     ","12/03/2013","05/29/2017","227","227"
"8045","475","150","      ","150-00-00024","13-3520200525","ANGLE, ALUM, GR 5086-H111,  ","2","2","10/15/2014","180","04/18/2014"," EA   ","0","0","2"," No     ","06/12/2015","05/29/2017","0","0"
"8045","475","150","      ","13-3320200425","13-3320200425","ANGLE, 2"" X 2"" X 1/4"" X 25',","67","-3","10/15/2014","90","07/17/2014"," EA   ","0","25","22"," No     ","12/03/2013","05/29/2017","96.25","2117.5"
"8019","475","161","      ","161-02-SEG0A-L06","-L06","REPORT, IN-PLANT TEST       ","1","1","07/14/2015","60","05/15/2015"," LO   ","0","0","1"," No     ","12/09/2013","05/29/2017","0","0"
"8019","475","161","      ","161-02-SEGAB-L47","-L47","GOVERNMENT INSPECTION       ","1","1","07/16/2015","60","05/17/2015"," LO   ","0","0","1"," No     ","12/09/2013","05/29/2017","0","0"
"8019","475","161","      ","161-02-SEGAB-L68","-L68","CERTIFICATES, VENDOR WELDING","1","1","07/16/2015","123","03/15/2015"," LO   ","0","0","1"," No     ","12/09/2013","05/29/2017","0","0"
"8028","475","161","      ","161-04-00062","380307000012-001","TYPE III BOND STRAP, 1"" X 3""","10","10","10/15/2014","123","06/14/2014"," EA   ","0","0","10"," No     ","06/23/2016","05/29/2017","0","0"
"8043","475","161","      ","161-01-00001-L11","-L11","CERTIFICATES, REGULATORY BOD","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","01/13/2015","05/29/2017","0","0"
"8043","475","161","      ","161-01-00001-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00002-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00003-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00004-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00005-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00006-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00007-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00008-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00009-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00010-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00011-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-01-00012-L47","-L47","GOVERNMENT INSPECTION       ","1","1","12/30/2014","60","10/31/2014"," LO   ","0","0","1"," No     ","12/18/2014","05/29/2017","0","0"
"8043","475","161","      ","161-10-0002C-L11","-L11","CERTIFICATES, REGULATORY BOD","1","1","02/01/2015","60","12/03/2014"," LO   ","0","0","1"," No     ","05/06/2013","05/06/2013","0","0"
"8022","475","164","      ","164-01-00001-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/25/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00002-L08","-L08","DRAWINGS, PRELIMINARY       ","1","0","09/09/2015","60","07/11/2015"," LO   ","0","1","1"," No     ","12/09/2013","05/29/2017","0","0"
"8019","475","167","      ","167-01-00002-L08","-L08","DRAWINGS, PRELIMINARY       ","1","0","09/09/2015","60","07/11/2015"," LO   ","0","1","1"," No     ","12/09/2013","05/29/2017","0","0"
"8019","475","167","      ","167-01-00002-L09","-L09","DRAWINGS, FINAL, CERTIFIED  ","1","0","09/09/2015","60","07/11/2015"," LO   ","0","1","1"," No     ","12/09/2013","05/29/2017","0","0"
"8019","475","167","      ","167-01-00425-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/25/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00426-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1","        ","04/25/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00427-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00430-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00432-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00439-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00444-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00449-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00472-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/25/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00473-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8019","475","167","      ","167-01-00474-L26","-L26","CERTIFICATE, IDENTICALITY   ","1","1","10/15/2014","60","08/16/2014"," EA   ","0","0","1"," No     ","04/28/2014","05/29/2017","0","0"
"8025","475","167","      ","167-03-00063-S00","-S00","CONNECTOR, COMPRESSION, 1/8""","8","0","04/07/2016","123","12/06/2015"," EA   ","0","8","8"," No     ","04/19/2017","05/29/2017","0.6","4.8"
"8025","475","167","      ","167-03-00063-S00","-S00","CONNECTOR, COMPRESSION, 1/8""","8","0","04/07/2016","123","12/06/2015"," EA   ","0","8","8"," No     ","04/19/2017","05/29/2017","0.6","4.8"
"8034","475","167","      ","167-01-00401-800","610602040000-002","PIN, QUICK RELEASE, SSTL    ","15","15","10/15/2014","112","06/25/2014"," EA   ","0","0","15"," No     ","04/04/2017","05/29/2017","0","0"
"8034","475","167","      ","167-01-00401-801","610602040000-003","RETAINING PIN EARS, 0.375"", ","30","30","10/15/2014","112","06/25/2014"," EA   ","0","0","30"," No     ","04/04/2017","05/29/2017","0","0"
"8034","475","167","      ","167-01-00401-802","610602040000-004","LANYARD                     ","15","15","10/15/2014","112","06/25/2014"," EA   ","0","0","15"," No     ","04/04/2017","05/29/2017","0","0"
"8036","475","167","      ","167-03-00061-S00","-S00","PIN, QUICK RELEASE, 5/8"", ST","4","0","04/07/2016","123","12/06/2015"," EA   ","0","4","4"," No     ","04/19/2017","05/29/2017","4.22","16.88"
"8043","475","167","      ","167-01-00106","610313-000000001","DOOR, LEFT HAND             ","1","1","09/17/2015","168","04/02/2015"," EA   ","0","0","1"," No     ","09/16/2014","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-820","610305-000000022","SCREW, CAP, HEX HD, 316 CRES","2","0","11/11/2015","7","11/04/2015"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-823","610305-000000025","WASHER, 316 CRES, 1/2""      ","6","0","11/11/2015","7","11/04/2015"," EA   ","0","5","5"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-838","610305-000000040","JOINING PLATE, LOWER, FWD., ","1","0","11/11/2015","365","11/11/2014"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-839","610305-000000041","JOINING PLATE, UPPER, FOR WB","1","0","11/11/2015","365","11/11/2014"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-840","610305-000000042","SCREW, FLAT HD., SOC. HD., F","28","0","11/11/2015","365","11/11/2014"," EA   ","0","28","28"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-841","610305-000000043","FILLER PLATE, LOWER, FOR WBM","1","0","11/11/2015","365","11/11/2014"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-842","610305-000000044","FILLER PLATE, UPPER, FOR WBM","1","0","11/11/2015","365","11/11/2014"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-843","610305-000000045","SCREW, CAP, SOC. HD., FOR WB","4","0","11/11/2015","365","11/11/2014"," EA   ","0","4","4"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-844","610305-000000046","JOINING PLATE, LOWER, AFT, F","1","0","11/11/2015","365","11/11/2014"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-872","610305-000000074","LOGIC BOX, FOR SLIDING WT DO","2","0","06/03/2015","365","06/03/2014"," EA   ","0","1","1"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-873","610305-000000075","SCREW, CAP, SOC. HD., 1.250-","46","0","09/09/2015","360","09/14/2014"," EA   ","0","30","30"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-875","610305-000000077","SMALL WEDGE, BRONZE         ","4","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-876","610305-000000078","MEDUIM WEDGE, BRONZE        ","4","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-877","610305-000000079","LARGE WEDGE, BRONZE         ","4","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-878","610305-000000080","SCREW, CAP, SOC. HD., 316 SS","32","0","11/11/2015","360","11/16/2014"," EA   ","0","16","16"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-879","610305-000000081","CENTER WEDGE, BRONZE        ","4","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-882","610305-000000083","UPPER PANEL STOP, 1-1/4"" THK","4","0","11/11/2015","360","11/16/2014"," EA   ","0","4","4"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-883","610305-000000084","UPPER PANEL STOP, 1-1/4"" THK","6","0","11/11/2015","360","11/16/2014"," EA   ","0","6","6"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-884","610305-000000085","UPPER PANEL STOP, 7/16"" THK ","6","0","11/11/2015","360","11/16/2014"," EA   ","0","6","6"," No     ","05/06/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-886","610305-000000088","SUPPORT GUSSET, 3/8"" THK    ","2","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-887","610305-000000089","SUPPORT GUSSET FLANGE, 3/8"" ","2","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-893","610305-000000096","PANEL GUSSET, 3/4"" THK      ","4","0","11/11/2015","360","11/16/2014"," EA   ","0","4","4"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-895","610305-000000098","SMALL BOTTOM PANEL STOP     ","2","0","11/11/2015","360","11/16/2014"," EA   ","0","2","2"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-896","610305-000000099","SOCKET BOTTOM, 316 SSTL, 3/8","10","0","11/11/2015","360","11/16/2014"," EA   ","0","10","10"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-897","610305-000000100","SOCKET RIGHTSIDE, 316 SSTL, ","10","0","11/11/2015","360","11/16/2014"," EA   ","0","10","10"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-898","610305-000000101","SOCKET LEFTSIDE, 316 SSTL,  ","10","0","11/11/2015","360","11/16/2014"," EA   ","0","10","10"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-899","610305-000000102","SOCKET BAR, 316 SSTL, 3/4"" D","10","0","11/11/2015","360","11/16/2014"," EA   ","0","10","10"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-901","610305-000000104","PANEL STIFFENER, GR DH36 STL","4","0","11/11/2015","360","11/16/2014"," EA   ","0","4","4"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-905","610305-000000110","SHEAVE, SPACER, FOR WBMZ/RC2","2","0","11/11/2015","56","09/16/2015"," EA   ","0","2","2"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-L31","-L31","CERTIFICATE, CALIBRATABLE   ","1","0","11/11/2015","120","07/14/2015"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00001-L68","-L68","CERTIFICATES, VENDOR WELDING","1","0","11/11/2015","123","07/11/2015"," LO   ","0","1","1"," No     ","12/09/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-802","610305-000000116","FRAME, DOOR, STBD SIDE, FOR ","1","0","05/11/2015","120","01/11/2015"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-806","610305-000000120","WEDGE, SMALL, FOR RC1/RC2   ","4","0","09/09/2015","25","08/15/2015"," EA   ","0","3","3"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-807","610305-000000121","WEDGE, MEDIUM, FOR RC1/RC2  ","4","0","09/09/2015","25","08/15/2015"," EA   ","0","4","4"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-809","610305-000000123","WEDGE, SCREWS, FOR RC1/RC2  ","32","0","09/09/2015","10","08/30/2015"," EA   ","0","32","32"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-809","610305-000000123","WEDGE, SCREWS, FOR RC1/RC2  ","32","0","09/09/2015","10","08/30/2015"," EA   ","0","32","32"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-816","610305-000000130","DOOR SEAL, O-RING, FOR RC1/R","2","0","09/09/2015","10","08/30/2015"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-824","610305-000000138","SLIDE PLATE, NAVAL BRASS    ","2","0","09/09/2015","21","08/19/2015"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-827","610305-000000141","SCREW, CAP, HEX HD, 316 CRES","6","0","09/09/2015","7","09/02/2015"," EA   ","0","2","2"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-838","610305-000000152","JOINING PLATE, LOWER, AFT, F","1","0","05/11/2015","365","05/11/2014"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-839","610305-000000153","JOINING PLATE, LOWER, FWD., ","1","0","05/11/2015","365","05/11/2014"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-840","610305-000000154","JOINING PLATE, UPPER, FOR RC","1","0","05/11/2015","365","05/11/2014"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-841","610305-000000155","SCREW, FLAT HD., SOC. HD., F","24","0","05/11/2015","365","05/11/2014"," EA   ","0","24","24"," No     ","05/07/2013","05/29/2017","0","0"
"8043","475","167","      ","167-01-00002-842","610305-000000156","FILLER PLATE, LOWER, FOR RC1","1","0","05/11/2015","365","05/11/2014"," EA   ","0","1","1"," No     ","05/07/2013","05/29/2017","0","0"
