"Buyer","Project","SWBS","Cont Supp","Item","Linked SPN","Description","Original SMOS  Qty","Remaining SMOS  Qty","In Yard Due Date","Lead time","Planned Order Date","UOM","Cust Item On Hand","Cust Item On Order","Cust Item Shortage","On Hold","Entered On Date","Last Mod Date","Last Price","Expected Amount","Compare To Project","Most Recent Order Date"
"8019","473","180","      ","180-96-00003","SRV521-030900783","SEAL MNT PLATE, BHD 54 & BHD","6","5","01/20/2014","17","01/03/2014"," EA   ","0","0","5"," No     ","12/04/2013","08/28/2017","4320","21600","            ",""
"8019","473","180","      ","180-96-00004","SRV521-030900803","MAIN LUBE OIL PUMP BOLTING  ","1","1","06/24/2014","123","02/21/2014"," EA   ","0","0","1"," No     ","09/16/2014","08/28/2017","180","180","479","09/28/2016"
"8019","473","201","      ","201-A1-00001","180433-000000006","BASE, MOUNTING GUARD        ","16","16","04/17/2014","42","03/06/2014"," EA   ","0","0","16"," No     ","12/12/2014","08/28/2017","0","0","            ",""
"8019","473","243","      ","243-05-VS001","SRV524-030300003","SERVICE, ROLL PARTS, 4 PARTS","1","1","04/17/2014","123","12/15/2013"," LO   ","0","0","1"," No     ","11/22/2013","08/28/2017","675","675","469","11/04/2013"
"8019","473","244","      ","244-01-00001","750430000200-001","LOCATING PIN, 5 X 2 DIA., ST","4","4","10/23/2014","14","10/09/2014"," EA   ","0","0","4"," No     ","01/20/2016","08/28/2017","0","0","120","10/08/2010"
"8019","473","512","      ","512-01-00015","SRV527-030500001","HVAC PENETRATION SLEEVE FABR","1","1","01/27/2014","60","11/28/2013"," EA   ","0","0","1"," No     ","06/19/2013","08/28/2017","1645","1645","479","05/11/2017"
"8019","473","612","      ","612-02-0S6BA","180201-000000002","SUB ASSEMBLY S6BA HINGE BRAC","48","48","12/02/2014","123","08/01/2014"," EA   ","0","0","48"," No     ","12/06/2013","08/28/2017","0","0","481","04/17/2017"
"8019","473","612","      ","612-02-0S6FA","180201-000000004","SUB ASSEMBLY S6FA HINGE BRAC","12","12","12/02/2014","123","08/01/2014"," EA   ","0","0","12"," No     ","12/06/2013","08/28/2017","0","0","481","04/17/2017"
"8019","473","612","      ","612-02-0S6KA","724315450100-001","SUB ASSY S6KA BRACKET       ","4","4","02/19/2015","14","02/05/2015"," EA   ","0","0","4"," No     ","07/05/2016","08/28/2017","0","0","481","04/17/2017"
"8019","473","665","      ","665-01-087AD","780800-000000020","VERTICAL RETAINING BRACKET  ","13","0","08/18/2014","0","08/18/2014"," EA   ","0","13","13"," No     ","02/28/2017","08/28/2017","0","0","            ",""
"8019","473","671","      ","671-91-000S7","761146110000-001","AFFF PAIL STOWAGE - FABRICAT","1","1","08/25/2014","56","06/30/2014"," EA   ","0","0","1"," No     ","01/09/2017","08/28/2017","700","700","477","06/22/2017"
"8019","473","995","      ","995-01-00023","SRV521-032200358","VENDOR SERVICES TO PLUTCHAK ","4","4","01/20/2014","123","09/19/2013"," LO   ","0","0","4"," No     ","06/12/2015","08/28/2017","111.5","446","471","03/19/2014"
"8019","473","127","      ","127-01-53301-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","03/11/2015","60","01/10/2015"," LO   ","0","0","1"," No     ","09/18/2013","08/28/2017","0","0","481","05/16/2017"
"8019","473","127","      ","127-01-53301-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","03/11/2015","60","01/10/2015"," EA   ","0","0","1"," No     ","09/18/2013","08/28/2017","0","0","465","12/09/2011"
"8019","473","127","      ","127-01-53301-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","03/11/2015","123","11/08/2014"," LO   ","0","0","1"," No     ","09/18/2013","08/28/2017","0","0","481","05/16/2017"
"8019","473","161","      ","161-02-SEGAB-L47","            -L47","GOVERNMENT INSPECTION       ","1","1","06/11/2014","60","04/12/2014"," LO   ","0","0","1"," No     ","12/09/2013","08/28/2017","0","0","471","06/01/2012"
"8019","473","161","      ","161-02-SEGAB-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","06/11/2014","123","02/08/2014"," LO   ","0","0","1"," No     ","12/09/2013","08/28/2017","0","0","485","08/22/2017"
"8019","473","259","      ","259-05-00052-800","602810-000000002","GUIDE LINER PADS W/FASTENERS","2","2","03/14/2014","42","01/31/2014"," LO   ","0","0","2"," No     ","12/19/2014","08/28/2017","0","0","485","08/11/2017"
"8019","473","259","      ","259-05-22009-S00","            -S00","PIPE SADDLE ASSY,321 CRES, 7","2","2","01/20/2014","123","09/19/2013"," EA   ","0","0","2"," No     ","06/21/2017","08/28/2017","225.14","450.28","            ",""
"8019","473","259","      ","259-05-22009-S01","            -S00","PIPE SADDLE ASSY,321 CRES, 7","2","2","01/20/2014","123","09/19/2013"," EA   ","0","0","2"," No     ","06/21/2017","08/28/2017","225.14","450.28","            ",""
"8019","473","259","      ","259-05-22015-S00","80A202-000000004","ANCHOR FDN ASSY, W/3"" IPS,  ","1","1","03/07/2014","30","02/05/2014"," EA   ","0","0","1"," No     ","06/21/2017","08/28/2017","92.61","92.61","            ",""
"8019","473","259","      ","259-05-22015-S01","80A202-000000004","ANCHOR FDN ASSY, W/3"" IPS,  ","1","1","03/07/2014","30","02/05/2014"," EA   ","0","0","1"," No     ","06/21/2017","08/28/2017","92.61","92.61","            ",""
"8019","473","259","      ","259-05-22024-S00","            -S00","CLAMP, PIPE, 13-1/4"" DIA, SS","1","1","09/15/2014","56","07/21/2014"," EA   ","0","0","1"," No     ","06/21/2017","08/28/2017","396.77","396.77","            ",""
"8019","473","259","      ","259-05-22031-S01","            -S00","ANCHOR FDN ASSY, W/3"" IPS   ","2","2","03/07/2014","30","02/05/2014"," EA   ","0","0","2"," No     ","06/21/2017","08/28/2017","107.46","214.92","            ",""
"8019","473","259","      ","259-05-22032-S00","            -S00","HOT HANGER ASSEMBLY, 3X3X1/4","1","1","03/07/2014","30","02/05/2014"," EA   ","0","0","1"," No     ","06/21/2017","08/28/2017","92.06","92.06","            ",""
"8019","473","259","      ","259-05-22033-S00","            -S00","ANCHOR FDN ASSY, W/4"" IPS,  ","1","1","03/07/2014","30","02/05/2014"," EA   ","0","0","1"," No     ","06/21/2017","08/28/2017","89.26","89.26","            ",""
"8019","473","259","      ","259-05-SP001-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","03/21/2014","60","01/20/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8019","473","259","      ","259-05-SP001-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","03/21/2014","60","01/20/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8019","473","259","      ","259-05-SP001-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","03/21/2014","123","11/18/2013"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0","0","            ",""
"8019","473","259","      ","259-05-SP003-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","03/14/2014","60","01/13/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8019","473","259","      ","259-05-SP003-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","03/14/2014","60","01/13/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8019","473","259","      ","259-05-SP003-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","03/14/2014","123","11/11/2013"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0","0","            ",""
"8019","473","259","      ","259-05-SP004-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","03/14/2014","60","01/13/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8019","473","259","      ","259-05-SP004-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","03/14/2014","60","01/13/2014"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0.01","0.01","450","07/16/2009"
"8019","473","259","      ","259-05-SP004-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","03/14/2014","123","11/11/2013"," LO   ","0","0","1"," No     ","04/30/2013","08/28/2017","0","0","            ",""
"8019","473","259","      ","259-07-00900-800","604010-000000003","GUIDE LINER PADS W/FASTENERS","4","0","06/04/2014","42","04/23/2014"," LO   ","0","3","3"," No     ","12/19/2014","08/28/2017","0","0","            ",""
"8019","473","259","      ","259-07-00902-800","604010-000000002","GUIDE LINER PADS W/FASTENERS","2","0","11/26/2014","42","10/15/2014"," LO   ","0","2","2"," No     ","12/19/2014","08/28/2017","0","0","485","08/11/2017"
"8019","473","512","      ","512-01-00015-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","01/27/2014","123","09/26/2013"," LO   ","0","0","1"," No     ","06/07/2013","08/28/2017","0","0","465","11/07/2011"
"8019","473","512","      ","512-01-00015-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","01/27/2014","123","09/26/2013"," LO   ","0","0","1"," No     ","06/07/2013","08/28/2017","0","0","465","11/07/2011"
"8019","473","512","      ","512-01-LV999-L23","            -L23","RELEASE FOR MANUFACTURE     ","1","1","07/08/2014","60","05/09/2014"," LO   ","0","0","1"," No     ","05/21/2014","08/28/2017","0","0","465","12/07/2012"
"8019","473","512","      ","512-01-LV999-L50","            -L50","CERTIFICATES, CONSTRUCTION  ","1","1","07/08/2014","60","05/09/2014"," LO   ","0","0","1"," No     ","05/21/2014","08/28/2017","0","0","481","08/15/2016"
"8019","473","551","      ","551-01-E0002-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","05/07/2015","60","03/08/2015"," LO   ","0","0","1"," No     ","06/27/2013","08/28/2017","5250","5250","481","04/14/2017"
"8019","473","551","      ","551-01-E0003-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","01/23/2015","60","11/24/2014"," LO   ","0","0","1"," No     ","06/27/2013","08/28/2017","0","0","483","01/07/2016"
"8019","473","551","      ","551-01-E0003-L23","            -L23","RELEASE FOR MANUFACTURE     ","1","1","01/23/2015","60","11/24/2014"," LO   ","0","0","1"," No     ","03/03/2014","08/28/2017","0","0","471","04/16/2013"
"8019","473","551","      ","551-01-E0004-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","05/07/2015","60","03/08/2015"," LO   ","0","0","1"," No     ","06/27/2013","08/28/2017","0","0","483","02/04/2016"
"8019","473","551","      ","551-01-E0004-L23","            -L23","RELEASE FOR MANUFACTURE     ","1","1","05/07/2015","60","03/08/2015"," LO   ","0","0","1"," No     ","03/03/2014","08/28/2017","0","0","471","04/16/2013"
"8019","473","551","      ","551-01-E0005-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","05/07/2015","60","03/08/2015"," LO   ","0","0","1"," No     ","06/27/2013","08/28/2017","0","0","483","02/04/2016"
"8019","473","551","      ","551-01-E0005-L23","            -L23","RELEASE FOR MANUFACTURE     ","1","1","05/07/2015","60","03/08/2015"," LO   ","0","0","1"," No     ","03/03/2014","08/28/2017","0","0","471","04/16/2013"
"8019","473","551","      ","551-01-E0006-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","02/12/2015","60","12/14/2014"," LO   ","0","0","1"," No     ","06/27/2013","08/28/2017","0","0","483","02/04/2016"
"8019","473","551","      ","551-01-E0013-L26","            -L26","CERTIFICATE, IDENTICALITY   ","1","1","02/12/2015","60","12/14/2014"," EA   ","0","0","1"," No     ","12/05/2013","08/28/2017","0","0","481","02/04/2016"
"8019","473","551","      ","551-01-E0013-R01","SRV300-032800009","VENDOR CLAIM, INSPECTION, SC","1","1","11/14/2016","123","07/14/2016"," EA   ","0","0","1"," No     ","11/14/2016","11/14/2016","0","0","            ",""
"8019","473","581","      ","581-01-00009-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","02/26/2015","60","12/28/2014"," LO   ","0","0","1"," No     ","06/12/2015","08/28/2017","0","0","479","08/19/2015"
"8019","473","582","      ","582-01-00100-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","02/26/2015","60","12/28/2014"," LO   ","0","0","1"," No     ","06/12/2015","08/28/2017","0","0","479","08/19/2015"
"8019","473","582","      ","582-01-00100-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","02/26/2015","123","10/26/2014"," LO   ","0","0","1"," No     ","06/12/2015","08/28/2017","0","0","479","08/19/2015"
"8019","473","582","      ","582-01-00102-L11","            -L11","CERTIFICATES, REGULATORY BOD","1","1","02/26/2015","60","12/28/2014"," LO   ","0","0","1"," No     ","06/12/2015","08/28/2017","0","0","479","08/19/2015"
"8019","473","582","      ","582-01-00102-L68","            -L68","CERTIFICATES, VENDOR WELDING","1","1","02/26/2015","123","10/26/2014"," LO   ","0","0","1"," No     ","06/12/2015","08/28/2017","0","0","479","08/19/2015"
"8019","473","582","      ","582-01-S0001-800","700022-000000004","INSERT PLATE, 70MM, EH-36, L","1","1","02/26/2015","123","10/26/2014"," EA   ","0","0","1"," No     ","03/27/2015","08/28/2017","0","0","467","03/20/2013"
"8019","473","612","      ","612-02-90001-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","12/02/2014","60","10/03/2014"," LO   ","0","0","1"," No     ","02/11/2015","08/28/2017","0","0","481","04/17/2017"
"8019","473","612","      ","612-02-90002-L06","            -L06","REPORT, IN-PLANT TEST       ","1","1","12/02/2014","60","10/03/2014"," LO   ","0","0","1"," No     ","02/12/2015","08/28/2017","0","0","481","04/17/2017"
"8019","473","613","      ","613-01-000S9-800","715204190000-001","BOLT, EYE, 3/4-10UNC, 4-5/8""","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","46.09","92.18","483","08/28/2017"
"8019","473","613","      ","613-01-000S9-801","710330690000-004","NUT, HEX, 3/4-10UNC-2B, CRES","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","24.28","48.56","483","08/28/2017"
"8019","473","613","      ","613-01-000S9-802","710830200049-001","WASHER, FLAT, 3/4"", CRES 316","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","4.9","9.8","483","08/28/2017"
"8019","473","613","      ","613-01-000S9-803","711204420000-002","PIN, CLEVIS, 5/8 X 1-3/4"" CR","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","14.44","28.88","483","08/28/2017"
"8019","473","613","      ","613-01-000S9-804","711204420000-003","PIN, COTTER, 3/32 X 1-1/4""  ","4","4","01/20/2014","14","01/06/2014"," EA   ","0","0","4"," No     ","07/03/2017","08/28/2017","3.42","13.68","483","08/28/2017"
"8019","473","613","      ","613-01-000S9-805","711330000000-001","PIN, HINGE, FAB, 1"", CRES 31","1","1","01/20/2014","14","01/06/2014"," EA   ","0","0","1"," No     ","07/03/2017","08/28/2017","31.96","31.96","483","08/28/2017"
"8019","473","613","      ","613-01-00S13-800","715204190000-001","BOLT, EYE, 3/4-10UNC, 4-5/8""","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","46.09","92.18","483","08/28/2017"
"8019","473","613","      ","613-01-00S13-801","710330690000-004","NUT, HEX, 3/4-10UNC-2B, CRES","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","24.28","48.56","483","08/28/2017"
"8019","473","613","      ","613-01-00S13-802","710830200049-001","WASHER, FLAT, 3/4"", CRES 316","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","4.9","9.8","483","08/28/2017"
"8019","473","613","      ","613-01-00S13-803","711204420000-002","PIN, CLEVIS, 5/8 X 1-3/4"" CR","2","2","01/20/2014","14","01/06/2014"," EA   ","0","0","2"," No     ","07/03/2017","08/28/2017","14.44","28.88","483","08/28/2017"
"8019","473","613","      ","613-01-00S13-804","711204420000-003","PIN, COTTER, 3/32 X 1-1/4""  ","4","4","01/20/2014","14","01/06/2014"," EA   ","0","0","4"," No     ","07/03/2017","08/28/2017","3.42","13.68","483","08/28/2017"
"8019","473","613","      ","613-01-00S13-805","711330000000-001","PIN, HINGE, FAB, 1"", CRES 31","1","1","01/20/2014","14","01/06/2014"," EA   ","0","0","1"," No     ","07/03/2017","08/28/2017","31.96","31.96","483","08/28/2017"
"8019","473","637","      ","637-97-00S78-S00","            -S00","SHELF, PRINTER, FABRICATE   ","1","1","07/08/2014","123","03/07/2014"," EA   ","0","0","1"," No     ","05/10/2017","08/28/2017","460","460","            ",""
"8021","473","42","      ","042-01-00061","SRV520-012000101","CLEANING SERVICES FOR LCS   ","7","7","01/20/2014","123","09/19/2013"," EA   ","0","0","7"," No     ","03/19/2014","08/28/2017","995","6965","467","06/02/2016"
"8021","473","243","      ","243-00-00002","SRV524-030900008","SERVICE, IN-PLACE MACHINING ","1","1","01/20/2014","123","09/19/2013"," EA   ","0","0","1"," No     ","05/24/2016","08/28/2017","22796.74","22796.74","465","01/29/2015"
"8021","473","243","      ","243-99-000A1","SRV524-030900009","SERVICES, MACHINING, SHAFTIN","1","1","04/17/2014","60","02/16/2014"," EA   ","0","0","1"," No     ","11/20/2013","08/28/2017","400","400","450","11/03/2009"
"8021","473","244","      ","244-01-MS005","SRV524-030900010","SERVICES, MACHINING, IAW PTS","1","1","04/17/2014","60","02/16/2014"," EA   ","0","0","1"," No     ","11/20/2013","08/28/2017","1","1","469","08/28/2017"
"8021","473","247","      ","247-01-MS004","SRV524-030800010","SRVC, SHIM & BLUE FIT       ","1","1","06/24/2014","123","02/21/2014"," LO   ","0","0","1"," No     ","09/20/2016","08/28/2017","1","1","477","04/06/2017"
"8021","473","512","      ","512-01-87658","704121091600-001","STRAP, VELCRO, 2"" X 5 FT    ","3","3","09/04/2015","30","08/05/2015"," EA   ","0","0","3"," No     ","02/28/2017","08/28/2017","0","0","            ",""
"8021","473","549","      ","549-01-00900","240206000001-001","OIL, ENGINE, MIL SYM 2190 TE","2","1","07/16/2015","15","07/01/2015"," EA   ","0","0","1"," No     ","11/21/2013","08/28/2017","888.02","888.02","            ",""
"8021","473","549","      ","549-01-10002","240900000300-001","GREASE, NLGI GRADE 2, SHELL ","4","4","07/16/2015","45","06/01/2015"," EA   ","0","0","4"," No     ","11/21/2013","08/28/2017","3.9","15.6","466","02/26/2016"
"8021","473","549","      ","549-01-10003","240911000301-001","GREASE, MIL-G-24139, MINERAL","2","2","07/16/2015","10","07/06/2015"," EA   ","0","0","2"," No     ","11/21/2013","08/28/2017","6.41","12.82","469","10/01/2015"
"8021","473","549","      ","549-01-10004","240800000001-001","LUBRICANT, WIRE ROPE, MIL-PR","3","3","07/16/2015","45","06/01/2015"," EA   ","0","0","3"," No     ","11/21/2013","08/28/2017","418.62","1255.86","467","03/28/2014"
"8021","473","549","      ","549-01-10005","240206000001-005","OIL, ENG, MIL SYM 2190, 55 G","1","1","01/12/2015","15","12/28/2014"," EA   ","0","0","1"," No     ","11/21/2013","08/28/2017","415.25","415.25","471","10/05/2016"
"8021","473","549","      ","549-01-20002","240306000000-001","COOLANT ADDITIVE, NALCO     ","3","3","01/12/2015","45","11/28/2014"," EA   ","2","0","1"," No     ","11/21/2013","08/28/2017","352.46","352.46","469","09/08/2016"
"8021","473","549","      ","549-01-20003","240206000000-005","OIL, LUBRICATING, MIL-PRF-  ","5","5","01/12/2015","60","11/13/2014"," GL   ","0","0","5"," No     ","11/21/2013","08/28/2017","13.7195","68.5975","450","06/11/2012"
"8021","473","549","      ","549-01-20004","240206000000-007","OIL, ENGINE LUBRICATING, MOB","2860","1650","01/20/2014","15","01/05/2014"," GL   ","0","0","1650"," No     ","02/10/2015","08/28/2017","12","19800","            ",""
"8021","473","549","      ","549-01-20005","240223000000-001","GOVERNOR OIL, 312-30W, MPDE ","2","2","01/20/2014","60","11/21/2013"," EA   ","0","0","2"," No     ","12/09/2015","08/28/2017","704.24","1408.48","467","12/11/2015"
"8021","473","549","      ","549-01-20021","240206000000-001","OIL, LUBRICATING, MIL-PRF-  ","3","3","01/20/2014","45","12/06/2013"," EA   ","0","3","3"," No     ","11/21/2013","08/28/2017","53.9084","161.7252","471","03/14/2017"
"8021","473","549","      ","549-01-20022","240206000000-002","OIL, LUBRICATING, SAE 20/30,","1","1","11/26/2014","45","10/12/2014"," EA   ","0","0","1"," No     ","11/21/2013","08/28/2017","72.89","72.89","465","03/26/2014"
"8021","473","549","      ","549-01-20022","240206000000-002","OIL, LUBRICATING, SAE 20/30,","1","1","11/26/2014","45","10/12/2014"," EA   ","0","0","1"," No     ","11/21/2013","08/28/2017","72.89","72.89","465","03/26/2014"
"8021","473","549","      ","549-01-20024","241321000000-001","DETERGENT, GT WATER WASH,   ","2","2","11/26/2014","45","10/12/2014"," EA   ","0","0","2"," No     ","11/21/2013","08/28/2017","208","416","465","04/09/2015"
"8021","473","549","      ","549-01-20025","240321000000-001","COOLANT,GAS TURBINE ESS AMSO","1","1","01/20/2014","14","01/06/2014"," DR   ","0","0","1"," No     ","02/10/2016","08/28/2017","1506.12","1506.12","471","05/18/2016"
"8021","473","549","      ","549-01-20041","240202000000-008","OIL, HYDRAULIC, ISO VG 32, S","4300","4300","11/26/2014","10","11/16/2014"," EA   ","0","0","4300"," No     ","11/21/2013","08/28/2017","5.95","25585","450","03/02/2011"
"8021","473","549","      ","549-01-20042","240206000001-002","OIL, ENGINE, MIL SYM 2190 TE","11200","700","01/20/2014","15","01/05/2014"," GL   ","0","0","700"," No     ","06/12/2015","08/28/2017","9.71","6797","            ",""
"8021","473","549","      ","549-01-20081","240900000300-002","GREASE, DOD-G-24508,        ","1","1","01/30/2015","45","12/16/2014"," EA   ","0","0","1"," No     ","11/21/2013","08/28/2017","0","0","467","01/25/2017"
"8021","473","549","      ","549-01-30003","240307000000-002","ANTIFREEZE, ETHYLENE GLYCOL ","25","25","01/12/2015","45","11/28/2014"," EA   ","0","0","25"," No     ","11/21/2013","08/28/2017","211.76","5294","471","08/09/2016"
"8021","473","549","      ","549-01-30005","240206000000-006","OIL, ENGINE LUBRICATING, MOB","330","110","01/20/2014","15","01/05/2014"," GL   ","0","0","110"," No     ","02/10/2015","08/28/2017","11.5152","1266.672","471","02/03/2017"
"8021","473","549","      ","549-01-40001","240906010000-001","LUBRICANT, ISOFLEX TOPAS NCA","2","2","11/06/2014","45","09/22/2014"," EA   ","0","0","2"," No     ","11/21/2013","08/28/2017","127.6","255.2","450","02/23/2011"
"8021","473","549","      ","549-01-40002","240922010301-001","GREASE, MIL-G-21164,        ","1","1","11/06/2014","45","09/22/2014"," EA   ","0","0","1"," No     ","11/21/2013","08/28/2017","52.74","52.74","465","03/26/2014"
"8021","473","549","      ","549-01-50001","240905000300-002","GREASE, NLGI GRADE 2, LITHIU","10","10","01/30/2015","30","12/31/2014"," EA   ","0","0","10"," No     ","11/21/2013","08/28/2017","3.52","35.2","450","02/23/2011"
"8021","473","549","      ","549-01-50002","240900000100-001","GREASE, CHEVRON SRI NO. 2   ","10","10","02/19/2015","30","01/20/2015"," EA   ","0","0","10"," No     ","11/21/2013","08/28/2017","42.41","424.1","465","03/26/2014"
"8021","473","549","      ","549-01-50027","240211000000-002","OIL, COMPRESSOR, MINERAL, SA","10","10","11/06/2014","0","11/06/2014"," GL   ","0","0","10"," No     ","11/21/2013","08/28/2017","16.77","167.7","469","02/03/2016"
"8021","473","549","      ","549-01-50029","240922000000-001","GREASE, MOLYKOTE LONGTERM   ","2","2","01/30/2015","60","12/01/2014"," GL   ","0","0","2"," No     ","11/21/2013","08/28/2017","20.97","41.94","467","10/02/2014"
"8021","473","549","      ","549-01-50031","240203000000-001","OIL, GEAR, SAE 50           ","1","1","01/12/2015","60","11/13/2014"," GL   ","0","0","1"," No     ","11/21/2013","08/28/2017","17.278","17.278","465","03/28/2014"
"8021","473","549","      ","549-01-50032","240905000000-001","GREASE, MOBILUX EP 111      ","5","5","01/30/2015","60","12/01/2014"," GL   ","0","0","5"," No     ","11/21/2013","08/28/2017","19.07","95.35","467","03/28/2014"
"8021","473","549","      ","549-01-50033","240905000000-002","GREASE, MOBILGREASE XHP 461 ","1","1","01/30/2015","60","12/01/2014"," GL   ","0","0","1"," No     ","11/21/2013","08/28/2017","28.3","28.3","467","03/26/2014"
"8021","473","549","      ","549-01-50034","240203010000-001","OIL, GEAR LUBRICANT, SYNTHET","4","4","01/12/2015","60","11/13/2014"," EA   ","0","0","4"," No     ","11/21/2013","08/28/2017","38.1","152.4","467","03/26/2014"
"8021","473","549","      ","549-01-50035","240206000001-003","OIL, ENG, MIL SYM 2190, 1 GA","5","5","01/12/2015","15","12/28/2014"," EA   ","0","0","5"," No     ","11/21/2013","08/28/2017","54.73","273.65","465","03/28/2014"
"8021","473","549","      ","549-01-50037","240914000300-001","GREASE, NLGI GRADE 2, LITHIU","4","4","01/30/2015","30","12/31/2014"," EA   ","0","0","4"," No     ","11/21/2013","08/28/2017","28.39","113.56","465","03/28/2014"
"8021","473","549","      ","549-01-50038","240203010000-005","OIL, GEAR LUBRICANT, SYNTHET","15","5","01/20/2014","60","11/21/2013"," GL   ","0","0","5"," No     ","06/22/2015","08/28/2017","39.72","198.6","            ",""
