"","SWBS","Item","Description","Noun 1","Noun 2","NRE","Vendor","Name","PO","Line","Unit Price","Order Qty","Delivered Qty","Committed Qty","Commit Amnt","Delv.date","Acct /Proj /Dept","CLIN","Effort","ECP/REA"
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","150    :     5833.00","","","","","","","",""
"SWBS :","161"," STRUT - CASTINGS","","","","","","","","","","","","","","","","","",""
"487","161","161-01-00002-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","1","16499","1","0","1","16499","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00005-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","2","16499","1","0","1","16499","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00008-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","3","16499","1","0","1","16499","07/13/2018","       /    /    ","            ","            ",""
"PROJECT:","487","","","","","","","","","","","","","","","","","","",""
"SWBS :","161"," STRUT - CASTINGS","","","","","","","","","","","","","","","","","",""
"487","161","161-01-00011-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","4","16499","1","0","1","16499","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00001-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","5","5369.9","1","0","1","5369.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00004-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","6","5369.9","1","0","1","5369.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00009-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","7","5369.9","1","0","1","5369.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00012-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","8","5369.9","1","0","1","5369.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00003-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","9","3089.9","1","0","1","3089.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00006-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","10","3089.9","1","0","1","3089.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00007-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","11","3089.9","1","0","1","3089.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00010-800","MATERIAL, WJ TUNNEL INLE","MATERIAL  ","WATERJET          ","   ","877","RUSSEL METAL","941330","12","3089.9","1","0","1","3089.9","07/13/2018","       /    /    ","            ","            ",""
"487","161","161-01-00001-L11","CERTIFICATES, REGULATORY","CERTIFICAT","REGULATORY        ","   ","877","RUSSEL METAL","941330","13","0","1","0","1","0","07/13/2018","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","161    :    99835.20","","","","","","","",""
"SWBS :","167"," 167M - STRUCTURAL","CLOSURES","","","","","","","","","","","","","","","","",""
"487","167","    167-06-00014","WIRE ROPE 1/8"" DIA LG=12","          ","                  ","   ","31609","ALL LIFT SYS","931198","4","0.26","16","16","16","4.16","12/29/2017","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ",":00:00","4.16","","","","","","",""
"SWBS :","180"," 180M - FOUNDATIONS","","","","","","","","","","","","","","","","","",""
"487","180","    180-92-00056","BOLT, 3/4-10 UNC-2A X 6""","BOLT      ","HEXAGON HEAD      ","   ","100355","ASKEW INDUST","921831","7","1.65","90","0","90","148.5","02/13/2018","       /    /    ","            ","            ",""
"487","180","    180-92-00057","BOLT 3/4""-10 UNC-2AX6""LG","BOLT      ","HEXAGON HEAD      ","   ","104124","JET INDUSTRI","921865","9","9.79","90","0","90","881.1","02/21/2018","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","180    :     1029.60","","","","","","","",""
"SWBS :","201"," 201M - MISC MACHINERY","GUARDS","","","","","","","","","","","","","","","","",""
"487","201","    201-01-00013","SHEET, 18 GA., 5 X 12, S","SHEET     ","                  ","   ","33670","RYERSON     ","766207","5","225","6","0","6","1350","03/05/2018","       /    /    ","            ","            ",""
"487","201","    201-01-00014","SHEET, 20 GA., 5 X 12, S","SHEET     ","                  ","   ","33670","RYERSON     ","766207","6","174.5","6","0","6","1047","03/05/2018","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","201    :     2397.00","","","","","","","",""
"SWBS :","234"," GAS TURBINE","","","","","","","","","","","","","","","","","",""
"487","234","    234-01-00002","FAN, GAS TURBINE MODULE ","FAN       ","AIR               ","   ","103406","IMECO INC   ","510287","1","0","1","0","1","0","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-P01","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","103406","IMECO INC   ","510287","2","69800","1","1","1","69800","02/01/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-P02","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","103406","IMECO INC   ","510287","3","174500","1","0","1","174500","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-P03","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","103406","IMECO INC   ","510287","4","349000","1","0","1","349000","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-P04","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","103406","IMECO INC   ","510287","5","104700","1","0","1","104700","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-801","FLEXIBLE CONNECTOR, HOWD","CONNECTOR ","FLEXIBLE          ","   ","103406","IMECO INC   ","510287","6","0","4","0","4","0","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-803","VIBRATION SENSOR        ","SENSOR    ","VIBRATION         ","   ","103406","IMECO INC   ","510287","7","0","4","0","4","0","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-804","FAN, PN 500899-81, 80 HP","FAN       ","COOLING           ","   ","103406","IMECO INC   ","510287","8","0","4","0","4","0","12/05/2018","       /    /    ","            ","            ",""
"487","234","234-01-00002-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","103406","IMECO INC   ","510287","9","0","1","0","1","0","12/05/2018","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","234    :   698000.00","","","","","","","",""
"SWBS :","251"," COMBUSTION AIR","SYSTEM","","","","","","","","","","","","","","","","",""
"487","251","    251-01-00001","PROPULSION GT AIR INTAKE","INTAKE    ","AIR               ","   ","104373","ALTAIR FILTE","510299","1","0","1","0","1","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-801","NEPTUNE MOISTURE SEPERAT","SEPERATOR ","                  ","   ","104373","ALTAIR FILTE","510299","2","0","4","0","4","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-802","BLOW-IN DOOR, COMBUSTION","DOOR      ","                  ","   ","104373","ALTAIR FILTE","510299","3","0","8","0","8","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-803","CONTROL SYSTEM, COMBUSTI","SYSTEM    ","                  ","   ","104373","ALTAIR FILTE","510299","4","0","2","0","2","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-804","NEPTUNE MOISTURE SEPARAT","SEPARATOR ","                  ","   ","104373","ALTAIR FILTE","510299","5","0","1","0","1","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-805","BLOW-IN DOOR, COOLING SY","DOOR      ","                  ","   ","104373","ALTAIR FILTE","510299","6","0","2","0","2","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-806","CONTROL SYSTEM, COOLING ","ASSEMBLY  ","                  ","   ","104373","ALTAIR FILTE","510299","7","0","2","0","2","0","11/30/2017","       /    /    ","            ","            ",""
"PROJECT:","487","","","","","","","","","","","","","","","","","","",""
"SWBS :","251"," COMBUSTION AIR","SYSTEM","","","","","","","","","","","","","","","","",""
"487","251","251-01-00001-807","FILTERS, (FOR AAU001)   ","FILTER    ","                  ","   ","104373","ALTAIR FILTE","510299","8","0","72","0","72","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-808","FILTERS, (FOR AAU100)   ","FILTER    ","                  ","   ","104373","ALTAIR FILTE","510299","9","0","8","0","8","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-810","THERMOSTAT              ","THERMOSTAT","                  ","   ","104373","ALTAIR FILTE","510299","10","0","2","0","2","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-815","NEPTUNE, MOISTURE SEPARA","SYSTEM    ","                  ","   ","104373","ALTAIR FILTE","510299","11","0","4","0","4","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-816","NEPTUNE, MOISTURE SEPARA","SYSTEM    ","                  ","   ","104373","ALTAIR FILTE","510299","12","0","1","0","1","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-L26","CERTIFICATE, IDENTICALIT","          ","                  ","   ","104373","ALTAIR FILTE","510299","13","0","1","0","1","0","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-P01","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","104373","ALTAIR FILTE","510299","14","146400","1","0","1","146400","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-P02","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","104373","ALTAIR FILTE","510299","15","146400","1","0","1","146400","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-P03","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","104373","ALTAIR FILTE","510299","16","366000","1","0","1","366000","11/30/2017","       /    /    ","            ","            ",""
"487","251","251-01-00001-P04","PROGRESS PAYMENT        ","PROGRESS P","                  ","   ","104373","ALTAIR FILTE","510299","17","73200","1","0","1","73200","11/30/2017","       /    /    ","            ","            ",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","251    :   732000.00","","","","","","","",""
"SWBS :","256"," 256M - MACH SEA","WATER COOL SYS","","","","","","","","","","","","","","","","",""
"487","256","    256-01-V0005","VALVE, BUTTERFLY, 8"", LU","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","1","15203","7","0","7","106421","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0005-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","2","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0014","VALVE, BUTTERFLY, 2-1/2""","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","3","697","4","0","4","2788","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0014-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","4","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0015","VALVE, BUTTERFLY, 3"" IPS","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","5","768","22","0","22","16896","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0015-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","6","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0016","VALVE, BUTTERFLY, 4"" IPS","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","7","829","2","0","2","1658","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0016-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","8","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0017","VALVE, BTRFLY, 5 IPS, BR","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","9","891","28","0","28","24948","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0017-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","10","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0018","VALVE, BUTTERFLY, 6"" IPS","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","11","1145","19","0","19","21755","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0018-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","12","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0019","VALVE, BUTTERFLY, 8"" IPS","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","13","1707","2","0","2","3414","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0019-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","14","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0029","VALVE, BUTTERFLY, 5"", LU","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","15","5807","2","0","2","11614","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0029-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","16","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0030","VALVE, BUTTERFLY, 8"", WA","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","17","4728","5","0","5","23640","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0030-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","18","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0031","VALVE, BUTTERFLY, 6"", BR","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","19","4259","1","0","1","4259","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0031-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","20","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0032","VALVE, BUTTERFLY, 8"", LU","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","21","8395","4","0","4","33580","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0032-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","22","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0036","VALVE, BUTTERFLY, 8"" IPS","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","23","1826","5","0","5","9130","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V0036-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","24","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V031A","VALVE, BUTTERFLY 6"", BRO","VALVE     ","BUTTERFLY         ","   ","102519","EMERSON AUTO","931180","25","9844","2","0","2","19688","03/31/2019","       /    /    ","            ","            ",""
"487","256","256-01-V031A-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","102519","EMERSON AUTO","931180","26","0","1","0","1","0","03/31/2019","       /    /    ","            ","            ",""
"487","256","    256-01-V0041","VALVE, BALL, 1"" IPS, BRO","VALVE     ","BALL              ","   ","105715","BNL INDUSTRI","931238","1","1035","2","0","2","2070","10/01/2018","       /    /    ","            ","            ",""
"487","256","    256-01-V0045","VALVE, BALL 1/2"" IPS, BR","VALVE     ","BALL              ","   ","105715","BNL INDUSTRI","931238","2","482","4","0","4","1928","10/01/2018","       /    /    ","            ","            ",""
"487","256","    256-01-V0046","VALVE, BALL, 2-WAY, 1-1/","VALVE     ","BALL              ","   ","105715","BNL INDUSTRI","931238","3","1097","4","0","4","4388","10/01/2018","       /    /    ","            ","            ",""
"487","256","256-01-V0041-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","105715","BNL INDUSTRI","931238","28","0","1","0","1","0","10/01/2018","       /    /    ","            ","            ",""
"487","256","256-01-V0045-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","105715","BNL INDUSTRI","931238","29","0","1","0","1","0","10/01/2018","       /    /    ","            ","            ",""
"487","256","256-01-V0046-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","105715","BNL INDUSTRI","931238","30","0","1","0","1","0","10/01/2018","       /    /    ","            ","            ",""
"487","256","    256-01-E0001","PUMP, MAIN SEAWATER,    ","PUMP      ","SEAWATER          ","   ","104058","CARVER PUMP ","941331","1","82383","5","0","5","411915","05/15/2019","       /    /    ","            ","            ",""
"487","256","256-01-E0001-L06","REPORT, IN-PLANT TEST   ","REPORT    ","IN PLANT TEST     ","   ","104058","CARVER PUMP ","941331","7","0","1","0","1","0","05/15/2019","       /    /    ","            ","            ",""
"487","256","256-01-E0001-L11","CERTIFICATES, REGULATORY","CERTIFICAT","REGULATORY        ","   ","104058","CARVER PUMP ","941331","8","0","1","0","1","0","05/15/2019","       /    /    ","            ","            ",""
"487","256","256-01-E0001-L26","CERTIFICATE, IDENTICALIT","CERTIFICAT","IDENTICALITY      ","   ","104058","CARVER PUMP ","941331","9","0","1","0","1","0","05/15/2019","       /    /    ","            ","            ",""
"PROJECT:","487","","","","","","","","","","","","","","","","","","",""
"SWBS :","256"," 256M - MACH SEA","WATER COOL SYS","","","","","","","","","","","","","","","","",""
"      ","    ","                ","                        ","          ","                  ","   ","      ","            ","   Total","for","SWBS     ","256    :   700092.00","","","","","","","",""
"SWBS :","259"," 259M - COMBUST","AIR&EXHAUST SYS","","","","","","","","","","","","","","","","",""
"487","259","    259-05-22501","PLATE, 3/8"", 4'X8', GR D","PLATE     ","PLAIN FINISH      ","   ","104757","METALS USA  ","766182","8","422.53","1","0","1","422.53","02/15/2018","       /    /    ","            ","            ",""
"487","259","    259-05-22506","PLATE, 1/4"" THK, STL, PL","PLATE     ","PLAIN             ","   ","104757","METALS USA  ","766182","9","322.12","1","0","1","322.12","02/15/2018","       /    /    ","            ","            ",""
